X,Y,FID,OBJECTID,Název,Typ,Provozovatel,Název_okresu,Kód_okresu_dle_číselníku_ČSÚ,Název_ORP,Kód_ORP_dle_číselníku_ČSÚ,Název_obce,Kód_obce_dle_číselníku_ČSÚ,Název_ulice,Číslo_popisné_nebo_evidenční_po,Typ_čísla_domovního,Číslo_orientační,PSČ,Zápis_vektorové_geometrie,Zeměpisná_délka_v_souřadnicovém,Zeměpisná_šířka_v_souřadnicovém
14.5992139000001,50.6842994,1,1,Hasičská zbrojnice Česká Lípa - Dobranov,hasičská zbrojnice,Město Česká Lípa,Česká Lípa,CZ0511,Česká Lípa,5101,Česká Lípa,561380,Dobranov,157,č.p.,,47121,POINT(50.6842994 14.5992139),14.5992139,50.6842994
14.5536131000001,50.683725,2,2,Hasičská zbrojnice Česká Lípa - Stará Lípa,hasičská zbrojnice,Město Česká Lípa,Česká Lípa,CZ0511,Česká Lípa,5101,Česká Lípa,561380,Liberecká,129,č.p.,,47001,POINT(50.6837250 14.5536131),14.5536131,50.683725
15.0776628,50.9232917,3,3,Hasičská zbrojnice Frýdlant,hasičská zbrojnice,Město Frýdlant,Liberec,CZ0513,Frýdlant,5102,Frýdlant,564028,Okružní,1378,č.p.,,46401,POINT(50.9232917 15.0776628),15.0776628,50.9232917
15.5104147000001,50.6043272000001,4,4,Hasičská zbrojnice Jilemnice,hasičská zbrojnice,Město Jilemnice,Semily,CZ0514,Jilemnice,5104,Jilemnice,577197,Roztocká,506,č.p.,,51401,POINT(50.6043272 15.5104147),15.5104147,50.6043272
15.0395222,50.7759464000001,5,5,Hasičská zbrojnice Liberec,hasičská zbrojnice,Statutární město Liberec,Liberec,CZ0513,Liberec,5105,Liberec,563889,Jánošíkova,226,č.p.,1,46001,POINT(50.7759464 15.0395222),15.0395222,50.7759464
14.5533981,50.7633703000001,6,6,Hasičská zbrojnice Nový Bor,hasičská zbrojnice,Město Nový Bor,Česká Lípa,CZ0511,Nový Bor,5106,Nový Bor,561860,Gen. Svobody,812,č.p.,,47301,POINT(50.7633703 14.5533981),14.5533981,50.7633703
15.3262847,50.6054894000001,7,7,Hasičská zbrojnice Semily,hasičská zbrojnice,Město Semily,Semily,CZ0514,Semily,5107,Semily,576964,Jana Žižky,56,č.p.,,51301,POINT(50.6054894 15.3262847),15.3262847,50.6054894
15.2419217,50.6589261,8,8,Hasičská zbrojnice Těpeře,hasičská zbrojnice,Město Železný Brod,Semily,CZ0514,Železný Brod,5110,Železný Brod,563871,Těpeře,68,č.p.,,46822,POINT(50.6589261 15.2419217),15.2419217,50.6589261
15.1456317,50.5929644,9,9,Hasičská zbrojnice Turnov,hasičská zbrojnice,Město Turnov,Semily,CZ0514,Turnov,5109,Turnov,577626,Hruborohozecká,388,č.p.,,51101,POINT(50.5929644 15.1456317),15.1456317,50.5929644
15.2547886,50.6452614,10,10,Hasičská zbrojnice Železný Brod,hasičská zbrojnice,Město Železný Brod,Semily,CZ0514,Železný Brod,5110,Železný Brod,563871,Štefánikova,83,č.p.,,46822,POINT(50.6452614 15.2547886),15.2547886,50.6452614
15.0460889,50.7622128,11,11,Hasičská záchranná služba SŽDC Liberec,hasičská zbrojnice,"Správa železniční dopravní cesty, státní organizace",Liberec,CZ0513,Liberec,5105,Liberec,563889,Nákladní,434,č.p.,18,46007,POINT(50.7622128 15.0460889),15.0460889,50.7622128
15.2760000000001,50.7375536000001,12,12,JSDH Horní Tanvald – kategorie JPO V,hasičská zbrojnice,Město Tanvald,Jablonec nad Nisou,CZ0512,Tanvald,5108,Tanvald,563820,Údolí Kamenice,278,č.p.,,46841,POINT(50.7375536 15.2760000),15.276,50.7375536
15.3104275000001,50.7413822,13,13,JSDH Tanvald – Šumburk – kategorie JPO III,hasičská zbrojnice,Město Tanvald,Jablonec nad Nisou,CZ0512,Tanvald,5108,Tanvald,563820,Protifašistických bojovníků,627,č.p.,,46841,POINT(50.7413822 15.3104275),15.3104275,50.7413822
