"","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"0","5137","4672","4591","4544","4419","4676","4912","4723","4690","4624","4548","4385"
"1-4","20044","21029","20481","19661","18938","18240","18347","18711","18852","19151","19075","18462"
"5-9","20963","21364","22376","23701","24678","25665","25672","25178","24412","23697","23210","23151"
"10-14","20203","20074","20267","20290","20666","20825","21451","22497","23798","24864","25855","25208"
"15-19","25115","23375","22035","20866","20338","20275","20223","20398","20428","20751","20928","21266"
"20-24","29378","28517","27969","27458","26389","25007","23658","22345","21298","20749","20595","20570"
"25-29","30477","29526","29205","28919","28643","28574","28389","27962","27635","26874","25470","23725"
"30-34","36703","34609","33126","31514","30217","29519","29230","28971","28884","28760","28542","27693"
"35-39","37801","38803","39356","39029","37806","36359","34434","33086","31667","30549","29698","28573"
"40-44","29132","29898","31241","33296","35626","37331","38724","39349","39150","38119","36497","34064"
"45-49","28089","28633","28753","28451","28193","28631","29507","30978","33179","35670","37334","38390"
"50-54","26842","25709","25130","25574","26775","27517","28107","28287","28021","27846","28252","29264"
"55-59","31950","31050","29771","28592","27095","26050","25009","24457","24972","26204","26822","27450"
"60-64","33716","33754","33084","32327","31750","30627","29656","28473","27372","25926","24831","23902"
"65-69","22423","24669","27248","28827","29936","31520","31555","30974","30216","29682","28511","27604"
"70-74","14795","15643","16629","18015","19319","20069","22071","24429","25934","26898","28210","28099"
"75-79","11877","11617","11344","11424","11795","12521","13318","14149","15363","16373","16840","18323"
"80-84","8976","9011","9098","9052","9029","8809","8708","8548","8623","8987","9467","9870"
"85+","6321","6647","6890","7069","7239","7424","7665","7785","7862","7966","7791","7571"
