X,Y,FID,OBJECTID,Název,Typ,Provozovatel,Název_okresu,Kód_okresu_dle_číselníku_ČSÚ,Název_ORP,Kód_ORP_dle_číselníku_ČSÚ,Název_obce,Kód_obce_dle_číselníku_ČSÚ,Název_ulice,Číslo_popisné_nebo_evidenční_po,Typ_čísla_domovního,Číslo_orientační,PSČ,Zápis_vektorové_geometrie,Zeměpisná_délka_v_souřadnicovém,Zeměpisná_šířka_v_souřadnicovém
14.5438844,50.6707394000001,1,1,Požární stanice Česká Lípa,požární stanice,Hasičský záchranný sbor Libereckého kraje,Česká Lípa,CZ0511,Česká Lípa,5101,Česká Lípa,561380,Karla Poláčka,3152,č.p.,,47001,POINT(50.6707394 14.5438844),14.5438844,50.6707394
14.6460092,50.5674550000001,2,2,Požární stanice Doksy,požární stanice,Hasičský záchranný sbor Libereckého kraje,Česká Lípa,CZ0511,Česká Lípa,5101,Doksy,561495,Pražská,1033,č.p.,,47201,POINT(50.5674550 14.6460092),14.6460092,50.567455
15.1588581,50.7435483,3,3,Požární stanice Jablonec nad Nisou,požární stanice,Hasičský záchranný sbor Libereckého kraje,Jablonec nad Nisou,CZ0512,Jablonec nad Nisou,5103,Jablonec nad Nisou,563510,Palackého,4680,č.p.,91,46605,POINT(50.7435483 15.1588581),15.1588581,50.7435483
14.7594569,50.7627469000001,4,4,Požární stanice Jablonné v Podještědí,požární stanice,Hasičský záchranný sbor Libereckého kraje,Liberec,CZ0513,Liberec,5105,Jablonné v Podještědí,561631,Lidická,238,č.p.,,47125,POINT(50.7627469 14.7594569),14.7594569,50.7627469
15.5104147000001,50.6043272000001,5,5,Požární stanice Jilemnice,požární stanice,Hasičský záchranný sbor Libereckého kraje,Semily,CZ0514,Jilemnice,5104,Rokytnice nad Jizerou,577456,Roztocká,506,č.p.,,51401,POINT(50.6043272 15.5104147),15.5104147,50.6043272
15.0532381,50.7577144000001,6,6,Požární stanice Liberec,požární stanice,Hasičský záchranný sbor Libereckého kraje,Liberec,CZ0513,Liberec,5105,Liberec,563889,Šumavská,414,č.p.,11,46001,POINT(50.7577144 15.0532381),15.0532381,50.7577144
15.1249100000001,50.8973261,7,7,Požární stanice Raspenava,požární stanice,Hasičský záchranný sbor Libereckého kraje,Liberec,CZ0513,Frýdlant,5102,Raspenava,564371,Nádražní,648,č.p.,,46401,POINT(50.8973261 15.1249100),15.12491,50.8973261
15.3338025,50.6004939000001,8,8,Požární stanice Semily,požární stanice,Hasičský záchranný sbor Libereckého kraje,Semily,CZ0514,Semily,5107,Semily,576964,nábřeží Svatopluka Čecha,185,č.p.,,51301,POINT(50.6004939 15.3338025),15.3338025,50.6004939
15.3104275000001,50.7413822,9,9,Požární stanice Tanvald,požární stanice,Hasičský záchranný sbor Libereckého kraje,Jablonec nad Nisou,CZ0512,Tanvald,5108,Tanvald,563820,Protifašistických bojovníků,627,č.p.,,46841,POINT(50.7413822 15.3104275),15.3104275,50.7413822
15.1544353,50.5891975000001,10,10,Požární stanice Turnov,požární stanice,Hasičský záchranný sbor Libereckého kraje,Semily,CZ0514,Turnov,5109,Turnov,577626,Trávnice,863,č.p.,,51101,POINT(50.5891975 15.1544353),15.1544353,50.5891975
